# Generated with Python 3.12.8 unicodedata Unicode 15.0.0 decimal()
U+AA53	3
U+AA54	4
U+AA55	5
U+AA56	6
U+AA57	7
U+AA58	8
U+AA59	9
U+ABF0	0
U+ABF1	1
U+ABF2	2
U+ABF3	3
U+ABF4	4
U+ABF5	5
U+ABF6	6
U+ABF7	7
U+ABF8	8
U+ABF9	9
U+FF10	0
U+FF11	1
U+FF12	2
U+FF13	3
U+FF14	4
U+FF15	5
U+FF16	6
U+FF17	7
U+FF18	8
U+FF19	9
U+104A0	0
U+104A1	1
U+104A2	2
U+104A3	3
U+104A4	4
U+104A5	5
U+104A6	6
U+104A7	7
U+104A8	8
U+104A9	9
U+10D30	0
U+10D31	1
U+10D32	2
U+10D33	3
U+10D34	4
U+10D35	5
U+10D36	6
U+10D37	7
U+10D38	8
U+10D39	9
U+11066	0
U+11067	1
U+11068	2
U+11069	3
U+1106A	4
U+1106B	5
U+1106C	6
U+1106D	7
U+1106E	8
U+1106F	9
U+110F0	0
U+110F1	1
U+110F2	2
U+110F3	3
U+110F4	4
U+110F5	5
U+110F6	6
U+110F7	7
U+110F8	8
U+110F9	9
U+11136	0
U+11137	1
U+11138	2
U+11139	3
U+1113A	4
U+1113B	5
U+1113C	6
U+1113D	7
U+1113E	8
U+1113F	9
U+111D0	0
U+111D1	1
U+111D2	2
U+111D3	3
U+111D4	4
U+111D5	5
U+111D6	6
U+111D7	7
U+111D8	8
U+111D9	9
U+112F0	0
U+112F1	1
U+112F2	2
U+112F3	3
U+112F4	4
U+112F5	5
U+112F6	6
U+112F7	7
U+112F8	8
U+112F9	9
U+11450	0
U+11451	1
U+11452	2
U+11453	3
U+11454	4
U+11455	5
U+11456	6
U+11457	7
U+11458	8
U+11459	9
U+114D0	0
U+114D1	1
U+114D2	2
U+114D3	3
U+114D4	4
U+114D5	5
U+114D6	6
U+114D7	7
U+114D8	8
U+114D9	9
U+11650	0
U+11651	1
U+11652	2
U+11653	3
U+11654	4
U+11655	5
U+11656	6
U+11657	7
U+11658	8
U+11659	9
U+116C0	0
U+116C1	1
U+116C2	2
U+116C3	3
U+116C4	4
U+116C5	5
U+116C6	6
U+116C7	7
U+116C8	8
U+116C9	9
U+11730	0
U+11731	1
U+11732	2
U+11733	3
U+11734	4
U+11735	5
U+11736	6
U+11737	7
U+11738	8
U+11739	9
U+118E0	0
U+118E1	1
U+118E2	2
U+118E3	3
U+118E4	4
U+118E5	5
U+118E6	6
U+118E7	7
U+118E8	8
U+118E9	9
U+11950	0
U+11951	1
U+11952	2
U+11953	3
U+11954	4
U+11955	5
U+11956	6
U+11957	7
U+11958	8
U+11959	9
U+11C50	0
U+11C51	1
U+11C52	2
U+11C53	3
U+11C54	4
U+11C55	5
U+11C56	6
U+11C57	7
U+11C58	8
U+11C59	9
U+11D50	0
U+11D51	1
U+11D52	2
U+11D53	3
U+11D54	4
U+11D55	5
U+11D56	6
U+11D57	7
U+11D58	8
U+11D59	9
U+11DA0	0
U+11DA1	1
U+11DA2	2
U+11DA3	3
U+11DA4	4
U+11DA5	5
U+11DA6	6
U+11DA7	7
U+11DA8	8
U+11DA9	9
U+11F50	0
U+11F51	1
U+11F52	2
U+11F53	3
U+11F54	4
U+11F55	5
U+11F56	6
U+11F57	7
U+11F58	8
U+11F59	9
U+16A60	0
U+16A61	1
U+16A62	2
U+16A63	3
U+16A64	4
U+16A65	5
U+16A66	6
U+16A67	7
U+16A68	8
U+16A69	9
U+16AC0	0
U+16AC1	1
U+16AC2	2
U+16AC3	3
U+16AC4	4
U+16AC5	5
U+16AC6	6
U+16AC7	7
U+16AC8	8
U+16AC9	9
U+16B50	0
U+16B51	1
U+16B52	2
U+16B53	3
U+16B54	4
U+16B55	5
U+16B56	6
U+16B57	7
U+16B58	8
U+16B59	9
U+1D7CE	0
U+1D7CF	1
U+1D7D0	2
U+1D7D1	3
U+1D7D2	4
U+1D7D3	5
U+1D7D4	6
U+1D7D5	7
U+1D7D6	8
U+1D7D7	9
U+1D7D8	0
U+1D7D9	1
U+1D7DA	2
U+1D7DB	3
U+1D7DC	4
U+1D7DD	5
U+1D7DE	6
U+1D7DF	7
U+1D7E0	8
U+1D7E1	9
U+1D7E2	0
U+1D7E3	1
U+1D7E4	2
U+1D7E5	3
U+1D7E6	4
U+1D7E7	5
U+1D7E8	6
U+1D7E9	7
U+1D7EA	8
U+1D7EB	9
U+1D7EC	0
U+1D7ED	1
U+1D7EE	2
U+1D7EF	3
U+1D7F0	4
U+1D7F1	5
U+1D7F2	6
U+1D7F3	7
U+1D7F4	8
U+1D7F5	9
U+1D7F6	0
U+1D7F7	1
U+1D7F8	2
U+1D7F9	3
U+1D7FA	4
U+1D7FB	5
U+1D7FC	6
U+1D7FD	7
U+1D7FE	8
U+1D7FF	9
U+1E140	0
U+1E141	1
U+1E142	2
U+1E143	3
U+1E144	4
U+1E145	5
U+1E146	6
U+1E147	7
U+1E148	8
U+1E149	9
U+1E2F0	0
U+1E2F1	1
U+1E2F2	2
U+1E2F3	3
U+1E2F4	4
U+1E2F5	5
U+1E2F6	6
U+1E2F7	7
U+1E2F8	8
U+1E2F9	9
U+1E4F0	0
U+1E4F1	1
U+1E4F2	2
U+1E4F3	3
U+1E4F4	4
U+1E4F5	5
U+1E4F6	6
U+1E4F7	7
U+1E4F8	8
U+1E4F9	9
U+1E950	0
U+1E951	1
U+1E952	2
U+1E953	3
U+1E954	4
U+1E955	5
U+1E956	6
U+1E957	7
U+1E958	8
U+1E959	9
U+1FBF0	0
U+1FBF1	1
U+1FBF2	2
U+1FBF3	3
U+1FBF4	4
U+1FBF5	5
U+1FBF6	6
U+1FBF7	7
U+1FBF8	8
U+1FBF9	9
